Data from LowRes_H2_15_26_11_07_2024_HR4C61881__36__15-28-17-237.txt Node

Date: Thu Nov 07 15:28:17 EST 2024
User: crc00042
Spectrometer: HR4C6188
Trigger mode: 4
Integration Time (sec): 1.000000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
245.66	-99.69
245.797	-99.69
245.934	-99.69
246.071	-94.69
246.208	2.31
246.344	-4.69
246.481	-25.69
246.618	-3.69
246.755	23.31
246.892	-10.69
247.029	-2.69
247.165	-5.69
247.302	7.31
247.439	8.31
247.576	-3.69
247.713	-16.69
247.849	34.31
247.986	0.31
248.123	-17.69
248.26	-6.69
248.396	-6.69
248.533	6.31
248.67	-8.69
248.806	8.31
248.943	-16.69
249.08	12.31
249.216	23.31
249.353	-2.69
249.49	-1.69
249.626	12.31
249.763	8.31
249.9	-7.69
250.036	15.31
250.173	2.31
250.309	2.31
250.446	-0.69
250.582	2.31
250.719	-3.69
250.856	-5.69
250.992	-22.69
251.129	-6.69
251.265	-10.69
251.402	5.31
251.538	11.31
251.675	-7.69
251.811	22.31
251.948	17.31
252.084	2.31
252.221	-8.69
252.357	-17.69
252.493	25.31
252.63	24.31
252.766	25.31
252.903	12.31
253.039	-11.69
253.175	-6.69
253.312	5.31
253.448	-12.69
253.585	-25.69
253.721	-10.69
253.857	3.31
253.994	23.31
254.13	12.31
254.266	-6.69
254.403	-3.69
254.539	5.31
254.675	-2.69
254.811	2.31
254.948	-0.69
255.084	-2.69
255.22	-1.69
255.356	-2.69
255.493	15.31
255.629	-12.69
255.765	-17.69
255.901	11.31
256.037	8.31
256.174	5.31
256.31	-12.69
256.446	7.31
256.582	10.31
256.718	-2.69
256.854	36.31
256.991	1.31
257.127	12.31
257.263	2.31
257.399	4.31
257.535	-3.69
257.671	7.31
257.807	-5.69
257.943	-7.69
258.079	-3.69
258.215	-1.69
258.351	25.31
258.487	6.31
258.623	11.31
258.759	-1.69
258.895	5.31
259.031	-7.69
259.167	-5.69
259.303	13.31
259.439	1.31
259.575	-3.69
259.711	0.31
259.847	-1.69
259.983	9.31
260.119	-2.69
260.255	-6.69
260.391	16.31
260.527	22.31
260.663	21.31
260.799	5.31
260.934	-0.69
261.07	1.31
261.206	-17.69
261.342	-15.69
261.478	16.31
261.614	9.31
261.749	2.31
261.885	-13.69
262.021	1.31
262.157	24.31
262.293	8.31
262.428	1.31
262.564	-1.69
262.7	0.31
262.836	-0.69
262.971	14.31
263.107	6.31
263.243	29.31
263.378	10.31
263.514	-9.69
263.65	3.31
263.785	2.31
263.921	-7.69
264.057	17.31
264.192	18.31
264.328	35.31
264.464	12.31
264.599	21.31
264.735	9.31
264.871	-20.69
265.006	-11.69
265.142	3.31
265.277	14.31
265.413	17.31
265.548	32.31
265.684	28.31
265.819	-1.69
265.955	4.31
266.091	-5.69
266.226	-26.69
266.362	-2.69
266.497	14.31
266.633	-10.69
266.768	-8.69
266.903	15.31
267.039	13.31
267.174	10.31
267.31	1.31
267.445	-4.69
267.581	-0.69
267.716	15.31
267.851	11.31
267.987	13.31
268.122	23.31
268.258	-10.69
268.393	-3.69
268.528	6.31
268.664	-24.69
268.799	-30.69
268.934	4.31
269.07	-0.69
269.205	2.31
269.34	29.31
269.476	13.31
269.611	-18.69
269.746	0.31
269.881	12.31
270.017	10.31
270.152	1.31
270.287	15.31
270.422	19.31
270.558	-0.69
270.693	6.31
270.828	-21.69
270.963	-18.69
271.098	-13.69
271.234	-2.69
271.369	10.31
271.504	-4.69
271.639	-16.69
271.774	0.31
271.909	-11.69
272.045	-31.69
272.18	18.31
272.315	-10.69
272.45	21.31
272.585	-6.69
272.72	-1.69
272.855	1.31
272.99	-2.69
273.125	-17.69
273.26	-6.69
273.395	-1.69
273.53	-8.69
273.665	23.31
273.8	-8.69
273.935	4.31
274.07	13.31
274.205	10.31
274.34	-0.69
274.475	-1.69
274.61	21.31
274.745	11.31
274.88	37.31
275.015	-1.69
275.15	15.31
275.285	13.31
275.42	3.31
275.555	9.31
275.69	14.31
275.825	0.31
275.959	15.31
276.094	-7.69
276.229	2.31
276.364	-9.69
276.499	11.31
276.634	1.31
276.768	-4.69
276.903	-11.69
277.038	6.31
277.173	-5.69
277.308	0.31
277.442	-20.69
277.577	-3.69
277.712	20.31
277.847	0.31
